V3,strain,timepoint,od,medium
0.01,strain-a,1,0.017,low
0.03,strain-b,1,0.017,low
1,strain-c,1,0.018,medium
3,strain-d,1,0.017,medium
30,strain-e,1,0.017,medium
100,strain-f,1,0.016,high
300,strain-g,1,0.015,high
0.01,strain-a,2,0.015,low
0.03,strain-b,2,0.018,low
1,strain-c,2,0.021,medium
3,strain-d,2,0.015,medium
30,strain-e,2,0.019,medium
100,strain-f,2,0.015,high
300,strain-g,2,0.016,high
0.01,strain-a,3,0.016,low
0.03,strain-b,3,0.015,low
1,strain-c,3,0.016,medium
3,strain-d,3,0.017,medium
30,strain-e,3,0.016,medium
100,strain-f,3,0.015,high
300,strain-g,3,0.015,high
0.01,strain-a,4,0.018,low
0.03,strain-b,4,0.019,low
1,strain-c,4,0.02,medium
3,strain-d,4,0.018,medium
30,strain-e,4,0.022,medium
100,strain-f,4,0.018,high
300,strain-g,4,0.018,high
0.01,strain-a,5,0.022,low
0.03,strain-b,5,0.021,low
1,strain-c,5,0.024,medium
3,strain-d,5,0.022,medium
30,strain-e,5,0.022,medium
100,strain-f,5,0.021,high
300,strain-g,5,0.021,high
0.01,strain-a,6,0.021,low
0.03,strain-b,6,0.02,low
1,strain-c,6,0.023,medium
3,strain-d,6,0.022,medium
30,strain-e,6,0.022,medium
100,strain-f,6,0.02,high
300,strain-g,6,0.019,high
0.01,strain-a,7,0.025,low
0.03,strain-b,7,0.024,low
1,strain-c,7,0.025,medium
3,strain-d,7,0.024,medium
30,strain-e,7,0.024,medium
100,strain-f,7,0.023,high
300,strain-g,7,0.021,high
0.01,strain-a,8,0.028,low
0.03,strain-b,8,0.027,low
1,strain-c,8,0.027,medium
3,strain-d,8,0.026,medium
30,strain-e,8,0.026,medium
100,strain-f,8,0.024,high
300,strain-g,8,0.024,high
0.01,strain-a,9,0.026,low
0.03,strain-b,9,0.025,low
1,strain-c,9,0.025,medium
3,strain-d,9,0.025,medium
30,strain-e,9,0.026,medium
100,strain-f,9,0.023,high
300,strain-g,9,0.022,high
0.01,strain-a,10,0.028,low
0.03,strain-b,10,0.028,low
1,strain-c,10,0.028,medium
3,strain-d,10,0.028,medium
30,strain-e,10,0.027,medium
100,strain-f,10,0.025,high
300,strain-g,10,0.024,high
0.01,strain-a,11,0.03,low
0.03,strain-b,11,0.031,low
1,strain-c,11,0.029,medium
3,strain-d,11,0.03,medium
30,strain-e,11,0.029,medium
100,strain-f,11,0.027,high
300,strain-g,11,0.025,high
0.01,strain-a,12,0.032,low
0.03,strain-b,12,0.032,low
1,strain-c,12,0.031,medium
3,strain-d,12,0.032,medium
30,strain-e,12,0.03,medium
100,strain-f,12,0.029,high
300,strain-g,12,0.027,high
0.01,strain-a,13,0.033,low
0.03,strain-b,13,0.033,low
1,strain-c,13,0.035,medium
3,strain-d,13,0.034,medium
30,strain-e,13,0.033,medium
100,strain-f,13,0.029,high
300,strain-g,13,0.027,high
0.01,strain-a,14,0.037,low
0.03,strain-b,14,0.037,low
1,strain-c,14,0.038,medium
3,strain-d,14,0.036,medium
30,strain-e,14,0.035,medium
100,strain-f,14,0.032,high
300,strain-g,14,0.028,high
0.01,strain-a,15,0.041,low
0.03,strain-b,15,0.038,low
1,strain-c,15,0.038,medium
3,strain-d,15,0.038,medium
30,strain-e,15,0.036,medium
100,strain-f,15,0.033,high
300,strain-g,15,0.028,high
0.01,strain-a,16,0.042,low
0.03,strain-b,16,0.042,low
1,strain-c,16,0.041,medium
3,strain-d,16,0.041,medium
30,strain-e,16,0.039,medium
100,strain-f,16,0.035,high
300,strain-g,16,0.031,high
0.01,strain-a,17,0.042,low
0.03,strain-b,17,0.043,low
1,strain-c,17,0.043,medium
3,strain-d,17,0.042,medium
30,strain-e,17,0.037,medium
100,strain-f,17,0.035,high
300,strain-g,17,0.03,high
0.01,strain-a,18,0.046,low
0.03,strain-b,18,0.044,low
1,strain-c,18,0.046,medium
3,strain-d,18,0.043,medium
30,strain-e,18,0.038,medium
100,strain-f,18,0.035,high
300,strain-g,18,0.031,high
0.01,strain-a,19,0.048,low
0.03,strain-b,19,0.047,low
1,strain-c,19,0.046,medium
3,strain-d,19,0.045,medium
30,strain-e,19,0.039,medium
100,strain-f,19,0.036,high
300,strain-g,19,0.032,high
0.01,strain-a,20,0.049,low
0.03,strain-b,20,0.049,low
1,strain-c,20,0.048,medium
3,strain-d,20,0.047,medium
30,strain-e,20,0.039,medium
100,strain-f,20,0.037,high
300,strain-g,20,0.032,high
0.01,strain-a,21,0.051,low
0.03,strain-b,21,0.05,low
1,strain-c,21,0.049,medium
3,strain-d,21,0.045,medium
30,strain-e,21,0.039,medium
100,strain-f,21,0.036,high
300,strain-g,21,0.031,high
0.01,strain-a,22,0.054,low
0.03,strain-b,22,0.054,low
1,strain-c,22,0.052,medium
3,strain-d,22,0.048,medium
30,strain-e,22,0.039,medium
100,strain-f,22,0.038,high
300,strain-g,22,0.032,high
0.01,strain-a,23,0.057,low
0.03,strain-b,23,0.057,low
1,strain-c,23,0.055,medium
3,strain-d,23,0.051,medium
30,strain-e,23,0.041,medium
100,strain-f,23,0.038,high
300,strain-g,23,0.031,high
0.01,strain-a,24,0.061,low
0.03,strain-b,24,0.059,low
1,strain-c,24,0.058,medium
3,strain-d,24,0.053,medium
30,strain-e,24,0.041,medium
100,strain-f,24,0.039,high
300,strain-g,24,0.033,high
0.01,strain-a,25,0.064,low
0.03,strain-b,25,0.062,low
1,strain-c,25,0.059,medium
3,strain-d,25,0.054,medium
30,strain-e,25,0.041,medium
100,strain-f,25,0.039,high
300,strain-g,25,0.034,high
0.01,strain-a,26,0.067,low
0.03,strain-b,26,0.065,low
1,strain-c,26,0.062,medium
3,strain-d,26,0.056,medium
30,strain-e,26,0.041,medium
100,strain-f,26,0.038,high
300,strain-g,26,0.032,high
0.01,strain-a,27,0.071,low
0.03,strain-b,27,0.069,low
1,strain-c,27,0.065,medium
3,strain-d,27,0.059,medium
30,strain-e,27,0.042,medium
100,strain-f,27,0.04,high
300,strain-g,27,0.034,high
0.01,strain-a,28,0.075,low
0.03,strain-b,28,0.07,low
1,strain-c,28,0.067,medium
3,strain-d,28,0.059,medium
30,strain-e,28,0.041,medium
100,strain-f,28,0.038,high
300,strain-g,28,0.034,high
0.01,strain-a,29,0.079,low
0.03,strain-b,29,0.075,low
1,strain-c,29,0.07,medium
3,strain-d,29,0.061,medium
30,strain-e,29,0.041,medium
100,strain-f,29,0.037,high
300,strain-g,29,0.033,high
0.01,strain-a,30,0.083,low
0.03,strain-b,30,0.08,low
1,strain-c,30,0.072,medium
3,strain-d,30,0.063,medium
30,strain-e,30,0.039,medium
100,strain-f,30,0.037,high
300,strain-g,30,0.032,high
0.01,strain-a,31,0.087,low
0.03,strain-b,31,0.082,low
1,strain-c,31,0.075,medium
3,strain-d,31,0.064,medium
30,strain-e,31,0.041,medium
100,strain-f,31,0.036,high
300,strain-g,31,0.032,high
0.01,strain-a,32,0.095,low
0.03,strain-b,32,0.089,low
1,strain-c,32,0.08,medium
3,strain-d,32,0.068,medium
30,strain-e,32,0.042,medium
100,strain-f,32,0.037,high
300,strain-g,32,0.033,high
0.01,strain-a,33,0.099,low
0.03,strain-b,33,0.093,low
1,strain-c,33,0.083,medium
3,strain-d,33,0.07,medium
30,strain-e,33,0.042,medium
100,strain-f,33,0.037,high
300,strain-g,33,0.033,high
0.01,strain-a,34,0.106,low
0.03,strain-b,34,0.099,low
1,strain-c,34,0.089,medium
3,strain-d,34,0.073,medium
30,strain-e,34,0.044,medium
100,strain-f,34,0.038,high
300,strain-g,34,0.034,high
0.01,strain-a,35,0.114,low
0.03,strain-b,35,0.106,low
1,strain-c,35,0.094,medium
3,strain-d,35,0.078,medium
30,strain-e,35,0.046,medium
100,strain-f,35,0.039,high
300,strain-g,35,0.034,high
0.01,strain-a,36,0.118,low
0.03,strain-b,36,0.11,low
1,strain-c,36,0.097,medium
3,strain-d,36,0.078,medium
30,strain-e,36,0.044,medium
100,strain-f,36,0.037,high
300,strain-g,36,0.033,high
0.01,strain-a,37,0.124,low
0.03,strain-b,37,0.115,low
1,strain-c,37,0.1,medium
3,strain-d,37,0.079,medium
30,strain-e,37,0.045,medium
100,strain-f,37,0.037,high
300,strain-g,37,0.032,high
0.01,strain-a,38,0.134,low
0.03,strain-b,38,0.123,low
1,strain-c,38,0.105,medium
3,strain-d,38,0.084,medium
30,strain-e,38,0.046,medium
100,strain-f,38,0.038,high
300,strain-g,38,0.033,high
0.01,strain-a,39,0.141,low
0.03,strain-b,39,0.129,low
1,strain-c,39,0.11,medium
3,strain-d,39,0.086,medium
30,strain-e,39,0.046,medium
100,strain-f,39,0.038,high
300,strain-g,39,0.033,high
0.01,strain-a,40,0.151,low
0.03,strain-b,40,0.138,low
1,strain-c,40,0.115,medium
3,strain-d,40,0.09,medium
30,strain-e,40,0.048,medium
100,strain-f,40,0.037,high
300,strain-g,40,0.032,high
0.01,strain-a,41,0.16,low
0.03,strain-b,41,0.145,low
1,strain-c,41,0.121,medium
3,strain-d,41,0.093,medium
30,strain-e,41,0.049,medium
100,strain-f,41,0.037,high
300,strain-g,41,0.033,high
0.01,strain-a,42,0.169,low
0.03,strain-b,42,0.153,low
1,strain-c,42,0.128,medium
3,strain-d,42,0.097,medium
30,strain-e,42,0.049,medium
100,strain-f,42,0.037,high
300,strain-g,42,0.032,high
0.01,strain-a,43,0.177,low
0.03,strain-b,43,0.16,low
1,strain-c,43,0.132,medium
3,strain-d,43,0.099,medium
30,strain-e,43,0.049,medium
100,strain-f,43,0.037,high
300,strain-g,43,0.032,high
0.01,strain-a,44,0.19,low
0.03,strain-b,44,0.171,low
1,strain-c,44,0.142,medium
3,strain-d,44,0.104,medium
30,strain-e,44,0.051,medium
100,strain-f,44,0.038,high
300,strain-g,44,0.033,high
0.01,strain-a,45,0.201,low
0.03,strain-b,45,0.18,low
1,strain-c,45,0.146,medium
3,strain-d,45,0.107,medium
30,strain-e,45,0.051,medium
100,strain-f,45,0.037,high
300,strain-g,45,0.032,high
0.01,strain-a,46,0.208,low
0.03,strain-b,46,0.187,low
1,strain-c,46,0.153,medium
3,strain-d,46,0.112,medium
30,strain-e,46,0.052,medium
100,strain-f,46,0.037,high
300,strain-g,46,0.032,high
0.01,strain-a,47,0.217,low
0.03,strain-b,47,0.197,low
1,strain-c,47,0.16,medium
3,strain-d,47,0.114,medium
30,strain-e,47,0.052,medium
100,strain-f,47,0.037,high
300,strain-g,47,0.032,high
0.01,strain-a,48,0.227,low
0.03,strain-b,48,0.205,low
1,strain-c,48,0.169,medium
3,strain-d,48,0.12,medium
30,strain-e,48,0.053,medium
100,strain-f,48,0.037,high
300,strain-g,48,0.031,high
0.01,strain-a,49,0.229,low
0.03,strain-b,49,0.213,low
1,strain-c,49,0.176,medium
3,strain-d,49,0.125,medium
30,strain-e,49,0.053,medium
100,strain-f,49,0.037,high
300,strain-g,49,0.032,high
0.01,strain-a,50,0.232,low
0.03,strain-b,50,0.219,low
1,strain-c,50,0.184,medium
3,strain-d,50,0.128,medium
30,strain-e,50,0.053,medium
100,strain-f,50,0.037,high
300,strain-g,50,0.032,high
0.01,strain-a,51,0.233,low
0.03,strain-b,51,0.224,low
1,strain-c,51,0.193,medium
3,strain-d,51,0.133,medium
30,strain-e,51,0.054,medium
100,strain-f,51,0.036,high
300,strain-g,51,0.031,high
0.01,strain-a,52,0.237,low
0.03,strain-b,52,0.229,low
1,strain-c,52,0.2,medium
3,strain-d,52,0.139,medium
30,strain-e,52,0.055,medium
100,strain-f,52,0.036,high
300,strain-g,52,0.032,high
0.01,strain-a,53,0.236,low
0.03,strain-b,53,0.23,low
1,strain-c,53,0.207,medium
3,strain-d,53,0.144,medium
30,strain-e,53,0.055,medium
100,strain-f,53,0.036,high
300,strain-g,53,0.032,high
0.01,strain-a,54,0.235,low
0.03,strain-b,54,0.231,low
1,strain-c,54,0.213,medium
3,strain-d,54,0.147,medium
30,strain-e,54,0.056,medium
100,strain-f,54,0.036,high
300,strain-g,54,0.031,high
0.01,strain-a,55,0.237,low
0.03,strain-b,55,0.23,low
1,strain-c,55,0.218,medium
3,strain-d,55,0.156,medium
30,strain-e,55,0.058,medium
100,strain-f,55,0.036,high
300,strain-g,55,0.032,high
0.01,strain-a,56,0.232,low
0.03,strain-b,56,0.231,low
1,strain-c,56,0.226,medium
3,strain-d,56,0.162,medium
30,strain-e,56,0.055,medium
100,strain-f,56,0.036,high
300,strain-g,56,0.031,high
0.01,strain-a,57,0.234,low
0.03,strain-b,57,0.233,low
1,strain-c,57,0.23,medium
3,strain-d,57,0.17,medium
30,strain-e,57,0.059,medium
100,strain-f,57,0.036,high
300,strain-g,57,0.032,high
0.01,strain-a,58,0.232,low
0.03,strain-b,58,0.228,low
1,strain-c,58,0.231,medium
3,strain-d,58,0.176,medium
30,strain-e,58,0.059,medium
100,strain-f,58,0.035,high
300,strain-g,58,0.032,high
0.01,strain-a,59,0.23,low
0.03,strain-b,59,0.228,low
1,strain-c,59,0.23,medium
3,strain-d,59,0.182,medium
30,strain-e,59,0.06,medium
100,strain-f,59,0.037,high
300,strain-g,59,0.032,high
0.01,strain-a,60,0.228,low
0.03,strain-b,60,0.225,low
1,strain-c,60,0.231,medium
3,strain-d,60,0.19,medium
30,strain-e,60,0.062,medium
100,strain-f,60,0.037,high
300,strain-g,60,0.031,high
0.01,strain-a,61,0.227,low
0.03,strain-b,61,0.225,low
1,strain-c,61,0.23,medium
3,strain-d,61,0.196,medium
30,strain-e,61,0.063,medium
100,strain-f,61,0.035,high
300,strain-g,61,0.032,high
0.01,strain-a,62,0.226,low
0.03,strain-b,62,0.222,low
1,strain-c,62,0.23,medium
3,strain-d,62,0.205,medium
30,strain-e,62,0.062,medium
100,strain-f,62,0.035,high
300,strain-g,62,0.031,high
0.01,strain-a,63,0.229,low
0.03,strain-b,63,0.225,low
1,strain-c,63,0.23,medium
3,strain-d,63,0.212,medium
30,strain-e,63,0.063,medium
100,strain-f,63,0.034,high
300,strain-g,63,0.031,high
0.01,strain-a,64,0.224,low
0.03,strain-b,64,0.221,low
1,strain-c,64,0.231,medium
3,strain-d,64,0.217,medium
30,strain-e,64,0.063,medium
100,strain-f,64,0.035,high
300,strain-g,64,0.03,high
0.01,strain-a,65,0.224,low
0.03,strain-b,65,0.22,low
1,strain-c,65,0.228,medium
3,strain-d,65,0.221,medium
30,strain-e,65,0.065,medium
100,strain-f,65,0.035,high
300,strain-g,65,0.031,high
